Producto,precio,PrincipioActivo,farmacia
Cetirizina Ptg 5Mg/5Ml Jarabe – Frasco 60 Ml,3.8,Cetirizina 5mg/5mL,Hogar y Salud
Cgura 0.15mg/0.03mg Tabletas Recubiertas – Caja 21 Un,6.5,Levonorgestrel 0.15mg | Etinilestradiol 0.03mg,Hogar y Salud
Ciprolin 500 Mg Tabletas Recubiertas – Lata 400 G,44.0,,Hogar y Salud
Cipronor 200 Mg/100 Ml Inyectable IV – Frasco 100 ML,6.7,Ciprofloxacino 200 Mg,Hogar y Salud
Ciriax 500mg Comprimido Recubierto,34.5,,Hogar y Salud
Ciriax Otic 0.2%-1% Suspensión Gotas Oticas – Frasco 5 Ml,26.0,Ciprofloxacino 2 Mg + Hidrocortisona 10 Mg,Hogar y Salud
Ciruelax Comprimidos,72.0,Extracto seco de hojas de Cassia angustifolia 75mg,Hogar y Salud
Ciruelax Forte Comprimidos Recubiertos,112.2,Extracto seco de hojas de Cassia angustifolia Vahl 125mg,Hogar y Salud
Ciruelax Jalea – Pote 150 G,23.0,"Polvo de hojas de Cassia angustifolia Vahl 4,4 g(Equivalente a no menos de 110 mg de Senósidos B) Polvo de frutos de Cassia acutifolia D 2,2 g(Equivalente a no menos de 74,8 mg de Senósidos B) Pulpa de ciruela 13,8 g Pulpa de manzana 23,8 g Semilla de linaza 2,5 g",Hogar y Salud
Ciruelax Liquido – Frasco 120 Ml,19.5,No encontrado,Hogar y Salud
Clixdin 100mg Ovulo Vaginal – Caja 7 Un,51.8,No encontrado,Hogar y Salud
Clobetasol ACF 0.05% Crema tópica – Tubo 25 G,5.6,Clobetasol 0.05%,Hogar y Salud
Clobetasol FMD 0.05% Crema – Tubo 25 G,4.4,Clobetasol 0.05%,Hogar y Salud
Clobuler Duo Forte 15/0.01mg/5ml Jarabe – Frasco 120 mL,17.7,Ambroxol 15mg | Clenbuterol 0.01mg,Hogar y Salud
Clobuler F 30mg/5ml Jarabe – Frasco 100 Ml,16.0,Ambroxol,Hogar y Salud
Clorfenamina Maleato 2mg/5 mL – Frasco 120 Ml,2.5,No encontrado,Hogar y Salud
Clorfenamina maleato 4mg Tableta – Caja 100 Un,0.5,Clorfenamina Maleato 4mg,Hogar y Salud
Clotrimazol FMD 1% Crema – Tubo 40 G,8.0,CLOTRIMAZOL 1 %,Hogar y Salud
Clotrimazol 1% Crema Portugal – Tubo 20 G,2.3,Clotrimazol 1%,Hogar y Salud
Cluvax Cápsula Blanda Vaginal – Caja 3 Un,38.4,Clindamicina + Clotrimazol,Hogar y Salud
Colirio Eyemo 0.05% Solucion oftálmica – Frasco 12 Ml,10.8,tetrahidrozolina 0.05%,Hogar y Salud
Colirio Eyemo 0.05% Solución Oftalmica – Frasco 8 Ml,9.8,Tetrahidrozolina Clorhidrato,Hogar y Salud
Colufase 100mg/5ml Polvo para Suspensión – Frasco 60 ML,31.3,NITAZOXANIDA 100mg,Hogar y Salud
Colufase 500mg Tableta Recubierta – Caja 6 Un,26.0,NITAZOXANIDA 500mg,Hogar y Salud
Comtrex Antigripal Dia (Sobre 5 Gr),2.0,Paracetamol 500mg + guaifenesina 200mg + fenilefrina clorhidrato 10mg,Hogar y Salud
Comtrex Antigripal Noche (Sobre 5 Gr),2.0,Paracetamol 650mg + ácido ascórbico 250mg + clorfenamina maleato 4mg,Hogar y Salud
Crema Adhesiva Corega Ultra Sabor Menta – Tubo 20 G,26.9,No encontrado,Hogar y Salud
Crema Adhesiva Corega Ultra Sabor Menta – Tubo 40 G,38.0,No encontrado,Hogar y Salud
Crema Adhesiva Corega Ultra sin Sabor – Tubo 20 G,26.9,No encontrado,Hogar y Salud
Crema Adhesiva Corega Ultra sin Sabor – Tubo 40 G,38.0,No encontrado,Hogar y Salud
Corentel 5Mg Comprimidos,72.8,Bisopropol 5 MG,Hogar y Salud
Cortiflex 50 Mg- 5 Ml Suspensión Inyectable – Frasco 5 Ml,40.5,Acetonido de Triamcinolona 50mg,Hogar y Salud
Cutivate 0.05 % Crema Tópica – Tubo 15 G,58.8,Propionato de fluticasona 0.05%,Hogar y Salud
Decorpred 4mg Tableta – Caja 100 Un,16.0,Dexametasona 4 mg,Hogar y Salud
Deflazym 30mg Tableta – Caja 10 Un,52.0,Deflazacort 30 mg,Hogar y Salud
Deflazym 6mg Tableta – Caja 10 Un,28.4,Deflazacort 6mg,Hogar y Salud
Dentigel Frambuesa 7.5% Gel Topico Bucal- Tubo 8 G,19.5,No encontrado,Hogar y Salud
Dermafar D Crema Tópica – Tubo 35 G,18.4,,Hogar y Salud
Dermovate Crema – Tubo 30 Gr,35.2,No encontrado,Hogar y Salud
Dermovate Ungüento – Tubo 40 Gr,48.0,No encontrado,Hogar y Salud
Desinprox 550Mg Tabletas Recubiertas,15.0,NAPROXENO SODICO 550 MG,Hogar y Salud
Desloratadina 2.5 mg/5ml Jarabe Genfar – Frasco 60 Ml,22.4,DESLORATADINA 2.5mg,Hogar y Salud
Dexaflam 0.5mg/5ml Jarabe – Frasco 100 Ml,17.9,No encontrado,Hogar y Salud
Dexcortil 4Mg/2Ml Inyectable,8.0,Dexametasona 4 MG,Hogar y Salud
Dextrometorfano 15Mg/5Ml Jarabe – Frasco120 mL,3.8,DEXTROMETORFANO BROMHIDRATO 15 mg,Hogar y Salud
Diane 35 Grageas – Caja 21 Un,30.0,Ciproterona 2 MG | Etinilestradiol 0.035 MG,Hogar y Salud
Dibrolax 5Mg Tabletas,10.6,,Hogar y Salud
Diclofenaco Genfar 50 mg Tableta – Caja 30 Un,5.0,DICLOFENACO SÓDICO 50mg,Hogar y Salud
Diclofenaco 1% Portugal Gel – Tubo 50 G,3.7,Diclofenaco sódico 1g,Hogar y Salud
Dicloxacilina 250mg/5ml Suspensión – Frasco 60 Ml,5.2,,Hogar y Salud
Dicynone 250Mg/2Ml Inyectable – Caja 1 Un,25.5,No encontrado,Hogar y Salud
Dimenhidrinato 50mg Tableta – Caja 100 Un,1.0,Dimenhidrinato 50mg,Hogar y Salud
Dolofinaldol 2% Gel Tópico – Tubo 50 G,20.9,Diclofenaco dietilamina 2 g,Hogar y Salud
Dolonet Forte 400Mg Capsulas,9.7,Ibuprofeno 400mg,Hogar y Salud
Doloral 100Mg/5Ml – Suspension 60 Ml,13.1,Ibuprofeno 100mg,Hogar y Salud
Doloral 40Mg/Ml – Suspension 15 Ml,14.2,Ibuprofeno 40mg,Hogar y Salud
Dowall’s 415mg/5ml Suspensión Oral – Frasco 150 mL,7.8,Hidróxido de magnesio 415mg/5ml,Hogar y Salud
Doxiproct Plus Pomada – Tubo 12 Gr,31.9,No encontrado,Hogar y Salud
Doxiproct Pomada – Tubo 12 Gr,32.3,No encontrado,Hogar y Salud
Doxium 500Mg Capsulas,32.0,,Hogar y Salud
Dulsuc Tableta Endulzante – Frasco 500 Un,20.9,No encontrado,Hogar y Salud
Duo Ventimax ECO 100 Mcg – 50 Mcg Inhalador – Frasco 200 DSS,40.8,Salbutamol 100mcg | Beclometasona 50mcg,Hogar y Salud
Enalapril Fmd 10Mg Tabletas – Caja 140 Un,7.0,Enalapril maleato 20mg,Hogar y Salud
Enalapril 10Mg Tabletas – Caja 100 Un,0.6,Enalapril 10mg,Hogar y Salud
Enterogermina Bebibles – Caja 10 Ampollas,37.0,Esporas de Bacillus clausii 2000 millones,Hogar y Salud
Ergico 2.5mg/5ml Solucion Oral – Frasco 60 Ml,28.5,No encontrado,Hogar y Salud
Esomeprazol 20mg Tabletas de Liberación Retardada – Caja 30 Un,19.7,Esomeprazol 20 mg,Hogar y Salud
Esoton 40 Mg Cápsulas,126.5,Esomeprazol 40 MG,Hogar y Salud
Evalax Polvo para solución oral,6.5,Polietilenglicol 3350 17 G,Hogar y Salud
Farma D 2000 UI Cápsula blanda – Frasco 60 Un,90.0,Vitamina D3 2000UI,Hogar y Salud
Femstat 100Mg – Caja 3 Óvulos,62.0,No encontrado,Hogar y Salud
Finartrit Advanced Msm Sobre,109.0,Glucosamina 1500 MG | Condroitina 200 MG | Metilsulfonilmetano 1500 MG,Hogar y Salud
Flora Balance Bebible Suspension Oral – Caja 10 Un,32.0,No encontrado,Hogar y Salud
Floratil 250 Mg Capsulas – Caja 10 Un,31.1,Saccharomyces boulardii,Hogar y Salud
Floratil 250 Mg Polvo para Suspensión Oral – Caja 10 Un,33.0,Saccharomyces boulardii,Hogar y Salud
Floril 0.03% Colirio Gotas Oftalmica – Frasco 8 Ml,8.6,No encontrado,Hogar y Salud
Fluconazol Fmd 150 mg Cápsula – Caja 2 UN,2.0,Fluconazol 150mg,Hogar y Salud
Flucostat 200Mg – Caja 1 Tab,8.7,No encontrado,Hogar y Salud
Fluibroncol 100mg/5ml Jarabe – Frasco 120 mL,24.5,,Hogar y Salud
Fluimax 100mg/5ml Solución Oral – Frasco 120 mL,22.2,Acetilcisteína 100mg,Hogar y Salud
Fluimucil 300 Mg/3 Ml Solución Inyectable – Caja 5 Un,52.7,Acetilcisteína 300 mg,Hogar y Salud
Fluimucil 600 Mg Comprimidos Efervescentes,3.5,Acetilcisteína 600mg,Hogar y Salud
Flumil 150 mg Cápsula – Caja 1 UN,5.8,Fluconazol 150mg,Hogar y Salud
Freegen 0.5% Solución Oftálmica – Frasco 15 Ml,36.6,carboximetilcelulosa 0.5%,Hogar y Salud
Freegen Gel 1% Solución Oftálmica – Frasco 15 Ml,40.4,carboximetilcelulosa sodica 0.1%,Hogar y Salud
Funcaden 1% Crema Topica – Tubo 20 G,24.4,No encontrado,Hogar y Salud
Furacin Pomada Tópica – Tubo 35 G,51.3,Nitrofural 0.2g,Hogar y Salud
Gaseovet Anis 80Mg/Ml Gotas – Frasco 15 Ml,24.5,Simeticona 80mg,Hogar y Salud
Gaseovet Fresa 80Mg/Ml Gotas – Frasco15 Ml,24.5,Simeticona 80mg,Hogar y Salud
Gaseovet MS 800/60Mg/10ml Suspension Oral – Frasco 220 Ml,27.5,Magaldrato | Simeticona,Hogar y Salud
Gasmoci Pri 200Mg Capsulas,44.5,No encontrado,Hogar y Salud
Gastroaliv 30mg Cápsulas de Liberación Retardada,18.0,Lansoprazol,Hogar y Salud
Gastroral 800/60mg/10ml Suspension Oral – Frasco 200 Ml,17.0,Magaldrato Anhidro 800mg | Simeticona 60mg,Hogar y Salud
Gel Lubricante Intimo Love Pleasure – Tubo 120 G,22.4,No encontrado,Hogar y Salud
Gel Lubricante Intimo Love Sensitive – Tubo 120 G,20.7,No encontrado,Hogar y Salud
Gemfibrolip 600Mg Tabletas,36.5,No encontrado,Hogar y Salud
Gensarna 25% Locion – Frasco 60 Ml,10.5,Benzoato de Bencilo 25%,Hogar y Salud
Gentamicina 0.3% Gotas Oftálmicas – Frasco Gotero 5 Ml,4.8,Gentamicina 3 Mg,Hogar y Salud
Germiderm Crema – Tubo 20 Gr,15.0,No encontrado,Hogar y Salud
Gingisona B Solución Spray – Frasco 15 Ml,29.0,Bencidamina clorhidrato 0.30%,Hogar y Salud
Ginna 0.02g/g Crema Vaginal – Tubo 40 Gr,53.5,Nitrato de Fenticonazol 0.02 G,Hogar y Salud
Glibenclamida Iqf 5Mg Tabletas,0.7,No encontrado,Hogar y Salud
Glicenex 850Mg Comprimidos,78.3,Metformina 850 MG,Hogar y Salud
Glicenex Duo 500Mg/2.5Mg Comprimidos,60.7,No encontrado,Hogar y Salud
Glicenex Duo 500Mg/5Mg Comprimidos,65.5,No encontrado,Hogar y Salud
Glicenex Sr 750Mg,51.2,Metformina 750 MG,Hogar y Salud
Glycolax 17 G Polvo para Solución Oral,60.0,Polietilenglicol 3350 17 g,Hogar y Salud
Gotabiotic Plus Suspensión Oftálmica – Frasco 5 Ml,38.3,Tobramicina 3 Mg + Dexametasona 1 mg,Hogar y Salud
Gravelox 50Mg Tabletas,14.0,Dimenhidrinato 50 mg,Hogar y Salud
Grifantil Jarabe – Frasco 60 Ml,26.8,Paracetamol 0.1g | Clorfeniramina maleato 0.0025g | Eucaliptol 0.001g | Gomenol 0.001g,Hogar y Salud
Gripa C Junior Tabletas Masticables,3.2,Paracetamol 80 MG | Clorfenamina 1 MG | Fenilefrina 2.5 MG,Hogar y Salud
Hadensa NF 100mg+2.5mg Supositorio – Caja 10 Un,69.0,Policresuleno 100mg | Cincocaína clorhidrato 2.5mg,Hogar y Salud
Hansaplast Parche Leon Arnica – Sobre 1 Un,7.9,No encontrado,Hogar y Salud
Hidrosona Crema Tópica – Tubo 20 G,28.5,Hidrocortisona Acetato 1%,Hogar y Salud
Hidrotears 0.3% Solución Oftálmica – Frasco 15 Ml,46.4,Hipromelosa 0.30%,Hogar y Salud
Hiedratos 35 Mg-5 Ml Jarabe – Frasco 100 Ml,23.4,No encontrado,Hogar y Salud
Higanatur 500 Mg Cápsula blanda,60.0,Silmarina 500 MG,Hogar y Salud
Hirudoid Forte Gel – Tubo 14 Gr,24.0,Poliéster Mucopolisacárido del Ácido sulfúrico 0.445%,Hogar y Salud
Hirudoid Forte Gel – Tubo 25 G,42.5,POLIESTER MUCOPOLISACÁRIDO DEL ÁCIDO SULFÚRICO 0.445%,Hogar y Salud
Hirudoid Forte 0.445% Crema – Tubo 14 G,23.3,Poliéster Mucopolisacárido del Ácido sulfúrico 0.445%,Hogar y Salud
Hirudoid Forte 0.445% Crema – Tubo 25 G,42.5,POLIESTER MUCOPOLISACÁRIDO DEL ÁCIDO SULFÚRICO 0.445%,Hogar y Salud
Hirudoid Pomada – Tubo 14 Gr,13.1,POLIESTER MUCOPOLISACÁRIDO DEL ÁCIDO SULFÚRICO 0.300%,Hogar y Salud
Histalex 5Mg Tabletas,30.0,Levocetirizina diclorhidrato 5mg,Hogar y Salud
Humed 0.3% Lagrimas Artificiales Solución Oftálmica – Frasco 15 Ml,11.9,hipromelosa 0.3%,Hogar y Salud
Hyalo Comfort Solucion oftálmica – Frasco 10 Ml,30.9,Hialuronato de sodio 0.4%,Hogar y Salud
Ibuprofeno 400 Mg Tableta recubierta – Caja 100 Un,13.0,Ibuprofeno 400mg,Hogar y Salud
Ibuprofeno Gnf 100mg/5ml Suspensión Oral – Frasco 120 ML,5.0,,Hogar y Salud
Idelle 0.1% Crema Vaginal – Tubo 15 G,35.5,Estriol 0.1g,Hogar y Salud
Idelle 0.5mg Ovulo Vaginal – Caja 7 Un,37.8,No encontrado,Hogar y Salud
Irbesartan 150 Mg Tabletas,5.2,Irbesartan 150 mg,Hogar y Salud
Irbesartan 300Mg Tabletas,14.6,Irbesartan 300 mg,Hogar y Salud
Isoface 20mg Cápsulas blandas – Caja 30 Un,144.7,Isotretinoína 20mg,Hogar y Salud
Isoprinosine 250 Mg/5Ml Jarabe – Frasco 120 Ml,85.2,Metisoprinol 250mg,Hogar y Salud
Isoprinosine 500 Mg Tableta – Caja 24 Un,85.3,Metisoprinol 500mg,Hogar y Salud
Ketoconazol 2% Crema – Tubo 20 G,3.1,Ketoconazol 2%,Hogar y Salud
Ketorolaco Gnf 30Mg/Ml Inyectable Intramuscular Intravenoso,1.8,No encontrado,Hogar y Salud
Lactulosa 3.3G/5Ml Solución Oral – Frasco 120 Ml,10.0,"Lactulosa 3,3g",Hogar y Salud
Lagricel Ofteno 4 mg/mL Solución Oftálmica – Caja 20 UN,87.3,,Hogar y Salud
Lansoprazol 30 mg Genfar Cápsulas – Caja 7 Un,6.0,Lansoprazol 30mg,Hogar y Salud
Lasix 40Mg Tabletas,17.4,No encontrado,Hogar y Salud
Laxanova NF 4g/4ml Solución Rectal,48.0,Glicerol 4 g/4ml,Hogar y Salud
Leche Magnesia Cereza 400 MG/5ML – Frasco 120 Ml,8.3,No encontrado,Hogar y Salud
Leche Magnesia Ciruela 400Mg/5Ml – Suspensión 120 Ml,8.3,No encontrado,Hogar y Salud
Leche Magnesia Clasica 425 MG/5ML – Frasco 360 Ml,21.1,No encontrado,Hogar y Salud
Leche Magnesia Clásica 425Mg/5Ml – Suspensión 120 Ml,7.9,No encontrado,Hogar y Salud
Leche Magnesia Kids Durazno 400Mg/5Ml – Suspensión120 Ml,8.3,No encontrado,Hogar y Salud
Lergimax 2mg/5ml Jarabe – Frasco 120 Ml,13.5,Clorfenamina Maleato 2mg,Hogar y Salud
Lergimax 4Mg,5.5,Clorfenamina Maleato 4 mg,Hogar y Salud
Lincocin 600Mg/2Ml Ampolla – Caja 1 Un,24.5,,Hogar y Salud
Lincomicina 600 mg/2ml Solución Inyectable Genfar – Caja 6 Un,15.9,Lincomicina 600 Mg,Hogar y Salud
Lincoplus 600Mg/2Ml Intramuscular Intravenoso Inyectable,13.0,,Hogar y Salud
Lipebin 3.33g|5ml Solución Oral – Frasco 90 ML,36.2,,Hogar y Salud
Lipelosa 3.33g/5ml Jarabe – Frasco 180 Ml,28.5,Lactulosa 3.33 g,Hogar y Salud
Locarmec 50Mg,55.0,Losartan 50 mg,Hogar y Salud
Lomecan V 2% Crema Vaginal – Tubo 20 G,36.6,CLOTRIMAZOL 2%,Hogar y Salud
Loralab D 10Mg,10.0,No encontrado,Hogar y Salud
Loratadina 10Mg Tabletas,0.5,Loratadina 10mg,Hogar y Salud
Loratadina 5Mg/5Ml Jarabe – Frasco 60 Ml,4.7,Loratadina 5mg,Hogar y Salud
Macrodantina XR 100 mg Cápsulas,71.6,Nitrofurantoína 100 mg,Hogar y Salud
Magal -D Suspensión – Frasco 200 Ml,28.5,Magaldrato | Simeticona 540mg | 40mg,Hogar y Salud
Marvelon – Caja 21 Un,18.1,Desogestrel 0.150mg| Etinilestradiol 0.030mg,Hogar y Salud
Mason Calcium Citrate Tableta – Frasco 60 Un,71.5,No encontrado,Hogar y Salud
Mason Lecithin Soya 1200mg Capsula Blanda – Frasco 100 Un,75.9,No encontrado,Hogar y Salud
Mebendazol IQ 100mg/5ml Suspensión oral – Frasco 30 mL,4.2,Mebendazol 100mg,Hogar y Salud
Mecodolfen 100mg/5ml Suspensión Oral – Frasco 60 Ml,9.9,Ibuprofeno 100mg/5mL,Hogar y Salud
Mecofase 100mg/5ml Suspensiòn Oral – Frasco 60 Ml,33.5,NITAZOXANIDA 100 mg,Hogar y Salud
Mecoflaxin 500Mg Tableta Recubierta – Caja 10 Un,55.0,Levofloxacino 500 Mg,Hogar y Salud
Mecoflaxin 750mg Tableta Recubierta – Caja 7 Un,52.5,Levofloxacino 750 Mg,Hogar y Salud
Mecohelix 35mg/5ml Jarabe – Frasco 120 Ml,17.9,Hedera Helix,Hogar y Salud
Meconadol 120mg/5ml Solución Oral – Frasco 120 Ml,13.9,Paracetamol 120mg,Hogar y Salud
Mecoprasol 40 Mg,39.4,Esomeprazol 40mg,Hogar y Salud
Mecoxibac CL F 875/125mg Tableta Recubierta – Caja 10 Un,58.0,Amoxicilina 875 Mg + Acido clavulánico 125 Mg,Hogar y Salud
"Medicilina 1’000,000 UI Polvo para Solucion Inyectable – Caja 1 Un",26.9,,Hogar y Salud
Medicortil 10mg/1mg/ml Solucion Oftalmica – Frasco 2.5 Ml,10.2,Framicetina Sulfato 10 mg | Dexametasona Fosfato 1 mg,Hogar y Salud
Medipiel B Crema – Tubo 20 G,15.0,"BETAMETASONA DIPROPIONATO 0.064 gr , CLOTRIMAZOL 1 gr , GENTAMICINA SULFATO 0.17 gr",Hogar y Salud
Mentholatum Ungüento- Pote 30 Gr,6.9,No encontrado,Hogar y Salud
Mentholatum Ungüento- Pote 85 Gr,12.5,No encontrado,Hogar y Salud
Merifar 10Mg/2Ml Im Iv Inyectable,15.2,No encontrado,Hogar y Salud
Merifar 4mg/ml Solucion Oral Gotas – Frasco 15 Ml,18.9,No encontrado,Hogar y Salud
Mesigyna Instayect X1 Jeringa + Inyectable – Caja 1 Inyectable,20.0,Noretisterona 5 MG | Estradiol 50 MG,Hogar y Salud
Metformina 500mg Tabletas recubiertas,15.3,Metformina 500mg,Hogar y Salud
Metformina Gnf 850mg Tabletas recubiertas – Caja 30 Un,9.7,No encontrado,Hogar y Salud
Metrodil 500mg Ovulo Vaginal – Caja 10 Un,24.0,No encontrado,Hogar y Salud
Metrofem L Ovulo Vaginal – Caja 10 Un,36.0,No encontrado,Hogar y Salud
Metronidazol 250Mg/5Ml – Suspensión 60 Ml,6.2,Metronidazol 250mg,Hogar y Salud
Micodym 1% Crema Topica – Tubo 30 G,18.9,No encontrado,Hogar y Salud
Microgynon Grageas – Caja 21 un,9.6,Microgynon levonorgestrel 0.15 mg + etinilestradiol 0.03 mg,Hogar y Salud
Minociclina 100mg Cápsula – Caja 10 Un,28.8,No encontrado,Hogar y Salud
Mometaliv 0.1% Crema Topica – Tubo 15 G,19.1,No encontrado,Hogar y Salud
Monurol 3G Granulado para Solución Oral – Caja 1 Un,59.6,,Hogar y Salud
Moviflex – Spray 30 ML,37.7,No encontrado,Hogar y Salud
Moviflex – Spray 50 ML,44.7,Indometacina 8mg,Hogar y Salud
Mucosolvan 30mg/5ml Jarabe Adulto – Frasco 120 Ml,27.0,Ambroxol  30mg/5ml,Hogar y Salud
Mucosolvan Compositum Pediátrico 7.5mg-0.005 mg /5ml Jarabe – Frasco 120ml,28.9,Ambroxol clorhidrato 7.5mg|Clenbuterol clorhidrato 0.005mg/5ml,Hogar y Salud
Mucosolvan Compositum 15mg – 0.01 mg/5ml Jarabe – Frasco 120 Ml,26.1,Ambroxol 15mg | Clenbuterol 0.01mg,Hogar y Salud
Mucotrim 7.5mg/ml Suspensión Oral Gotas – Frasco 20 mL,17.0,Ambroxol 7.5 mg,Hogar y Salud
Mucotrim Dilat Jarabe – Frasco 120 Ml,20.5,Ambroxol 15ml | Clenbuterol 7.5ml,Hogar y Salud
Mucovit Crema – Tubo 30 Gr,26.0,Retinol (VIT A) 5.000 UI | Alfa Tocoferol (VIT E) 10 MG | Dexpantenol 50 MG,Hogar y Salud
Multi Confort Solucion Multiproposito – Frasco 120 Ml,27.9,No encontrado,Hogar y Salud
Multi Confort Solucion Multiproposito – Frasco 60 Ml,17.5,No encontrado,Hogar y Salud
Multiderm Crema – Tubo 10 G,17.0,"CLOTRIMAZOL 1g, GENTAMICINA 0.1g, BETAMETASONA 0.05g",Hogar y Salud
Multiflora Advance Cápsula – Caja 30 Un,120.0,Probióticos,Hogar y Salud
Mupibiot 2% Ungüento Tópico – Tubo 15 G,25.9,Mupirocina 2g,Hogar y Salud
Muvett 300 Mg Tabletas,58.0,,Hogar y Salud
Muvett SM Tabletas – Caja 21 UN,61.0,No encontrado,Hogar y Salud
Nasodil Solucion Gotas Nasales – Frasco 15 Ml,7.5,CLORURO DE SODIO 9 mg,Hogar y Salud
Nastizol Junior Tabletas Masticables,6.2,Paracetamol 80.0mg | Clorfenamina maleato 1.0mg | Fenilefrina clorhidrato 2.5mg,Hogar y Salud
Nepafen 0.1% Suspensión Oftálmica – Frasco 5 Ml,68.0,Nepafenaco 0.1%,Hogar y Salud
Neumocort 200 Mcg/dosis Aerosol para inhalación – Frasco 200 Dss,60.9,Budesonida 200mcg/dosis,Hogar y Salud
Nikzon Tabletas Masticables,12.8,Extracto estandarizado de raíz de Ruscus aculeatus | Lactobacillus sporogenes | Ácido Poliglicólico,Hogar y Salud
Nimocitan K Tableta de Liberacion Prolongada – Frasco 14 Un,28.5,No encontrado,Hogar y Salud
Nitoxadin 500mg Tableta Recubierta – Caja 6 Un,27.0,Nitazoxanida 500mg,Hogar y Salud
Nodial Crema Dérmica – Tubo 10 G,11.3,Clotrimazol 1g | Gentamicina 0.1g | Betametasona 0.05mg,Hogar y Salud
Nopucid 10 (Shampoo Y accondicionador) 2 en 1 Sachets,2.5,Permetrina 1%,Hogar y Salud
Norflex Plus 35 Mg- 450 Mg Tabletas – Caja 10 Un,28.0,Orfenadrina Citrato 35mg | Paracetamol 450mg,Hogar y Salud
Normix 200 Mg Tabletas Recubiertas – Caja 12 Un,62.4,,Hogar y Salud
Notil Crema – Tubo10 Gr,14.4,No encontrado,Hogar y Salud
Novocortil 1% Crema – Tubo 20 G,30.1,Hidrocortisona Acetato 1%,Hogar y Salud
Nucleo CMP Forte Cápsulas – Caja 20 Un,66.0,Citidin 5 monofosfato disódico 5mg | Uridin 5 trifosfato trisódico 5mg | Uridin 5 difosfato disódico 5mg | Uridin 5 monofosfato disódico 5mg,Hogar y Salud
Olomuc Solución oftálmica – Frasco 5 Ml,49.3,olopatadina 0.2%,Hogar y Salud
Omeprazol Ptg 20mg Cápsula de Liberación Retardada – Caja 100 UN,14.0,Omeprazol 20mg,Hogar y Salud
Oralsone Topic Solución Tópica – Frasco 20 mL,26.9,Extracto hidroalcohólico de Ruibarbo 5g | Ácido salicílico 1g,Hogar y Salud
Oseomax 70Mg Tableta – Caja 4 Un,25.6,,Hogar y Salud
Otidol Solución otica – Frasco 5 Ml,14.4,Polimixina B sulfato 10 000 UI|Neomicina sulfato 5.0 mg |Furaltadona clorhidrato 4 mg| fluorhidrocortisona 1 mg,Hogar y Salud
Otozambon NF Gotas – Frasco 10 Ml,18.2,No encontrado,Hogar y Salud
Oxido De Zinc Alkofarma Polvo – Frasco 50 G,4.5,No encontrado,Hogar y Salud
Paltomiel Adulto – Jarabe 200 Ml,18.9,No encontrado,Hogar y Salud
Panadol 100mg/ml Solución oral gotas – Frasco 15 ML,15.0,,Hogar y Salud
Panadol 160mg/5ml Jarabe – Frasco 60 ML,15.0,,Hogar y Salud
Paracetamol 100mg/ml Solución oral gotas – Frasco 10 ML,1.5,,Hogar y Salud
Paracetamol Ptg 120Mg/5Ml C/Caja – Jarabe 120 Ml,3.4,Paracetamol 120mg,Hogar y Salud
Paracetamol Ptg 120Mg/5Ml Jarabe – Jarabe 60 Ml,2.1,Paracetamol 120mg,Hogar y Salud
Piascledine 300 Mg Cápsula,167.0,Persea Gratissima 200 MG | Glycine Max 100 MG,Hogar y Salud
Pluserec 100mg Tableta Recubierta – Caja 2 Un,21.8,Sildenafilo 100mg,Hogar y Salud
Pluserec 50mg Tableta Recubierta – Caja 4 Un,31.6,Sildenafilo 50mg,Hogar y Salud
Polilax Polvo Sobres,5.7,Polietilenglicol 3350,Hogar y Salud
Predcort 25mg/5ml Solucion Oral – Frasco 60 Ml,28.5,No encontrado,Hogar y Salud
Prednisona 50mg Tableta – Caja 100 Un,4.5,Prednisona 50mg,Hogar y Salud
Pregabalina 150 Mg Cápsula,22.3,Pregabalina 150 MG,Hogar y Salud
Pregabalina 75 Mg Cápsula,15.0,Pregabalina 75 Mg,Hogar y Salud
Preservativo Sensation Manzana Liso – Caja 3 Un,5.0,No encontrado,Hogar y Salud
Preservativo Sensation Vainilla con Anillos – Caja 3 Un,5.0,No encontrado,Hogar y Salud
Preservativos Durex Clásico – Caja 3 Un,7.8,No encontrado,Hogar y Salud
Preservativos Durex Máximo Placer – Caja 3 Un,10.7,No encontrado,Hogar y Salud
Preservativos Durex Placer Prolongado – Caja 3 Un,11.1,No encontrado,Hogar y Salud
Presevativos Sensation Fresa con Puntos – Caja 3 Un,5.0,No encontrado,Hogar y Salud
Presicaptil 25Mg,14.5,CAPTOPRIL 25 mg,Hogar y Salud
Profeket 2.5% Gel – Tubo 30 G,25.4,Ketoprofeno,Hogar y Salud
Propoleo Superfood Jarabe – Frasco 220 Ml,25.9,No encontrado,Hogar y Salud
Prostanatur 320 Mg Capsulas,87.0,EXTRACTO DE SERENOA REPENS 320 mg,Hogar y Salud
Pyridium 100Mg,16.5,No encontrado,Hogar y Salud
Qlaira Comprimidos Recubiertos – Caja 28 Un,52.5,,Hogar y Salud
Quadriderm Extra Sp Crema – Tubo 10 Gr,14.0,"CLOTRIMAZOL 1g, BETAMETASONA 0.05g, GENTAMICINA 0.1g",Hogar y Salud
Ragilon 40mg Comprimidos – Caja 10 Un,11.8,No encontrado,Hogar y Salud
Refreskan-T Plus Solución oftálmica – Frasco 15 Ml,32.8,Carmelosa (Carboximetilcelulosa Sódica) 5mg,Hogar y Salud
